time,move_pow_metric,safety_metric,movement_efficiency,current_lighting,max_speed,obj_det_eff,obj_power,pic_rate,curr_cam_topic,pics_taken
1,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10,cam_feednot_available,-10.0
2,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10,cam_feednot_available,-10.0
3,-10.0,-10.0,-10.0,0.933446,-10.0,-10.0,-10.0,-10,cam_feednot_available,-10.0
4,-10.0,-10.0,-10.0,0.933446,-10.0,-10.0,-10.0,-10,cam_feednot_available,-10.0
5,-10.0,-10.0,-10.0,0.909722,-10.0,-10.0,-10.0,-10,cam_feednot_available,-10.0
6,-10.0,-10.0,-10.0,0.909722,-10.0,-10.0,-10.0,-10,cam_feednot_available,-10.0
7,-10.0,-10.0,-10.0,0.887117,-10.0,-10.0,-10.0,-10,cam_feednot_available,-10.0
8,-10.0,0.125608,-10.0,0.887117,-10.0,-10.0,-10.0,-10,cam_feednot_available,-10.0
9,-10.0,0.145524,0.993554,0.867415,-10.0,-10.0,-10.0,-10,cam_feednot_available,-10.0
10,-10.0,0.145524,0.993554,0.867415,-10.0,-10.0,-10.0,-10,cam_feednot_available,-10.0
11,-10.0,0.166429,0.900306,0.836087,-10.0,"0,1",7053.725098,-10,cam_feednot_available,1.0
12,-10.0,0.166429,0.900306,0.836087,-10.0,"0,2",6994.450195,-10,cam_feednot_available,2.0
13,-10.0,0.146061,0.997856,0.814611,-10.0,"0,3",6935.174805,-10,cam_feednot_available,3.0
14,-10.0,0.146061,0.997856,0.814611,-10.0,"0,4",6875.899902,-10,cam_feednot_available,4.0
15,-10.0,0.093035,0.660054,0.784296,-10.0,"0,4",6875.899902,-10,cam_feednot_available,4.0
16,28.705603,0.093035,0.660054,0.784296,-10.0,"0,5",6816.625,-10,cam_feednot_available,5.0
17,28.705603,0.088773,0.660054,0.753251,-10.0,"0,6",6757.350098,-10,cam_feednot_available,6.0
18,28.705603,0.088773,0.660054,0.753251,-10.0,"0,7",6698.075195,-10,cam_feednot_available,7.0
19,28.705603,0.062139,0.941594,0.70988,-10.0,"0,7",6698.075195,-10,cam_feednot_available,7.0
20,28.705603,0.062139,0.941594,0.70988,-10.0,"0,8",6638.799805,-10,cam_feednot_available,8.0
21,28.705603,0.03903,0.949347,0.675026,-10.0,"0,9",6579.524902,-10,cam_feednot_available,9.0
22,28.705603,0.03903,0.949347,0.675026,-10.0,"0,9",6579.524902,-10,cam_feednot_available,10.0
23,28.705603,0.072502,0.238467,0.64884,-10.0,"0,9",6579.524902,-10,cam_feednot_available,10.0
24,20.852762,0.072502,0.238467,0.64884,-10.0,"0,10",6520.25,-10,cam_feednot_available,10.0
25,20.852762,0.081079,0.238467,0.604656,-10.0,"0,10",6520.25,-10,cam_feednot_available,10.0
26,20.852762,0.081079,0.238467,0.604656,-10.0,"0,11",6460.975098,-10,cam_feednot_available,11.0
27,20.852762,0.095844,0.728218,0.573193,-10.0,"0,12",6401.700195,-10,cam_feednot_available,12.0
28,20.852762,0.095844,0.728218,0.573193,-10.0,"0,13",6342.424805,-10,cam_feednot_available,13.0
29,20.852762,0.09114,0.894498,0.530171,-10.0,"0,14",6283.149902,-10,cam_feednot_available,14.0
30,20.852762,0.09114,0.894498,0.530171,-10.0,"0,14",6283.149902,-10,cam_feednot_available,15.0
31,20.852762,0.210873,1.0,0.490528,-10.0,"0,14",6283.149902,-10,cam_feednot_available,15.0
32,20.852762,0.210873,1.0,0.490528,-10.0,"0,14",6283.149902,-10,cam_feednot_available,15.0
33,20.852762,0.207992,0.998017,0.458607,-10.0,"0,14",6283.149902,-10,cam_feednot_available,15.0
34,20.852762,0.207992,0.998017,0.458607,-10.0,"0,14",6283.149902,-10,cam_feednot_available,15.0
35,20.852762,0.154961,0.94537,0.415231,-10.0,"0,14",6283.149902,-10,cam_feednot_available,15.0
36,20.852762,0.154961,0.94537,0.415231,-10.0,"0,14",6283.149902,-10,cam_feednot_available,15.0
37,20.852762,0.154334,1.0,0.381037,-10.0,"0,14",6283.149902,-10,cam_feednot_available,15.0
38,20.852762,0.154334,1.0,0.381037,-10.0,"0,14",6283.149902,-10,cam_feednot_available,15.0
39,20.852762,0.142649,0.996868,0.343394,-10.0,"0,14",6283.149902,-10,cam_feednot_available,15.0
40,20.852762,0.142649,0.996868,0.343394,-10.0,"0,14",6283.149902,-10,cam_feednot_available,15.0
41,20.852762,0.120421,0.792128,0.307502,-10.0,"0,14",6283.149902,-10,cam_feednot_available,15.0
42,20.852762,0.120421,0.792128,0.307502,-10.0,"0,14",6283.149902,-10,cam_feednot_available,15.0
43,20.852762,0.112316,0.792128,0.273415,-10.0,"0,14",6283.149902,-10,cam_feednot_available,15.0
44,20.852762,0.112316,0.792128,0.273415,-10.0,"0,14",6283.149902,-10,cam_feednot_available,15.0
45,20.852762,0.102868,0.792128,0.240976,-10.0,"0,14",6283.149902,-10,cam_feednot_available,15.0
46,62.19751,0.102868,0.792128,0.240976,-10.0,"0,15",6223.875,-10,cam_feednot_available,15.0
47,62.19751,0.095421,0.792128,0.20879,-10.0,"0,16",6164.600098,-10,cam_feednot_available,16.0
48,62.19751,0.095421,0.792128,0.20879,-10.0,"0,16",6164.600098,-10,cam_feednot_available,16.0
49,62.19751,0.087213,0.642776,0.178344,-10.0,"0,17",6105.325195,-10,cam_feednot_available,17.0
50,62.19751,0.087213,0.642776,0.178344,-10.0,"0,18",6046.049805,-10,cam_feednot_available,18.0
51,62.19751,0.071312,0.98775,0.15099,-10.0,"0,19",5986.774902,-10,cam_feednot_available,19.0
52,62.19751,0.071312,0.98775,0.15099,-10.0,"0,19",5986.774902,-10,cam_feednot_available,19.0
53,62.19751,0.107026,1.0,0.12479,-10.0,"0,19",5986.774902,-10,cam_feednot_available,20.0
54,62.19751,0.107026,1.0,0.12479,-10.0,"0,19",5986.774902,-10,cam_feednot_available,20.0
55,62.19751,0.197842,1.0,0.101575,-10.0,"0,19",5986.774902,-10,cam_feednot_available,20.0
56,62.19751,0.197842,1.0,0.101575,-10.0,"0,19",5986.774902,-10,cam_feednot_available,20.0
57,62.19751,0.170936,0.789342,0.079774,-10.0,"0,19",5986.774902,-10,cam_feednot_available,20.0
58,62.19751,0.170936,0.789342,0.079774,-10.0,"0,19",5986.774902,-10,cam_feednot_available,20.0
59,62.19751,0.113023,0.789342,0.060859,-10.0,"0,19",5986.774902,-10,cam_feednot_available,20.0
60,62.19751,0.113023,0.789342,0.060859,-10.0,"0,19",5986.774902,-10,cam_feednot_available,20.0
61,62.19751,0.111282,0.789342,0.043752,-10.0,"0,19",5986.774902,-10,cam_feednot_available,20.0
62,62.19751,0.111282,0.789342,0.043752,-10.0,"0,19",5986.774902,-10,cam_feednot_available,20.0
63,45.984848,0.114521,0.789342,0.029834,-10.0,"1,20",5927.5,-10,cam_feednot_available,20.0
64,45.984848,0.114521,0.789342,0.029834,-10.0,"2,21",5868.225098,-10,cam_feednot_available,21.0
65,45.984848,0.106145,0.79175,0.018658,-10.0,"3,22",5808.950195,-10,cam_feednot_available,22.0
66,45.984848,0.106145,0.79175,0.018658,-10.0,"3,23",5749.674805,-10,cam_feednot_available,23.0
67,45.984848,0.089237,0.991653,0.00945,-10.0,"3,24",5690.399902,-10,cam_feednot_available,24.0
68,45.984848,0.089237,0.991653,0.00945,-10.0,"3,24",5690.399902,-10,cam_feednot_available,25.0
69,45.984848,0.209435,0.950018,0.003695,-10.0,"3,24",5690.399902,-10,cam_feednot_available,25.0
70,45.984848,0.209435,0.950018,0.003695,-10.0,"3,24",5690.399902,-10,cam_feednot_available,25.0
71,45.984848,0.180276,0.994791,0.000541,-10.0,"3,24",5690.399902,-10,cam_feednot_available,25.0
72,45.984848,0.180276,0.994791,0.000541,-10.0,"3,24",5690.399902,-10,cam_feednot_available,25.0
73,45.984848,0.145417,0.94664,0.000207,-10.0,"3,24",5690.399902,-10,cam_feednot_available,25.0
74,45.984848,0.145417,0.94664,0.000207,-10.0,"3,24",5690.399902,-10,cam_feednot_available,25.0
75,45.984848,0.095687,0.842638,0.001994,-10.0,"3,24",5690.399902,-10,cam_feednot_available,25.0
76,45.984848,0.095687,0.842638,0.001994,-10.0,"3,24",5690.399902,-10,cam_feednot_available,25.0
77,45.984848,0.05132,0.789969,0.008176,-10.0,"3,24",5690.399902,-10,cam_feednot_available,25.0
78,44.097031,0.05132,0.789969,0.008176,-10.0,"3,25",5631.125,-10,cam_feednot_available,25.0
79,44.097031,0.040372,0.789969,0.015481,-10.0,"3,26",5571.850098,-10,cam_feednot_available,26.0
80,44.097031,0.040372,0.789969,0.015481,-10.0,"3,27",5512.575195,-10,cam_feednot_available,27.0
81,44.097031,0.049379,0.789969,0.025051,-10.0,"3,28",5453.299805,-10,cam_feednot_available,28.0
82,44.097031,0.049379,0.789969,0.025051,-10.0,"3,28",5453.299805,-10,cam_feednot_available,28.0
83,44.097031,0.052321,0.789969,0.036021,-10.0,"3,29",5394.024902,-10,cam_feednot_available,29.0
84,44.097031,0.052321,0.789969,0.036021,-10.0,"3,29",5394.024902,-10,cam_feednot_available,30.0
85,44.097031,0.048449,0.789969,0.057065,-10.0,"3,29",5394.024902,-10,cam_feednot_available,30.0
86,44.097031,0.048449,0.789969,0.057065,-10.0,"3,29",5394.024902,-10,cam_feednot_available,30.0
87,44.097031,0.047476,0.789969,0.072505,-10.0,"3,29",5394.024902,-10,cam_feednot_available,30.0
88,44.097031,0.047476,0.789969,0.072505,-10.0,"3,29",5394.024902,-10,cam_feednot_available,30.0
89,44.097031,0.044691,0.189897,0.089542,-10.0,"3,29",5394.024902,-10,cam_feednot_available,30.0
90,44.097031,0.044691,0.189897,0.089542,-10.0,"3,29",5394.024902,-10,cam_feednot_available,30.0
91,44.097031,0.051316,0.193807,0.120995,-10.0,"3,29",5394.024902,-10,cam_feednot_available,30.0
92,44.097031,0.051316,0.193807,0.120995,-10.0,"3,29",5394.024902,-10,cam_feednot_available,30.0
93,44.097031,0.07191,0.194402,0.145112,-10.0,"3,29",5394.024902,-10,cam_feednot_available,30.0
94,44.097031,0.07191,0.194402,0.145112,-10.0,"3,29",5394.024902,-10,cam_feednot_available,30.0
95,44.097031,0.090129,0.197214,0.17227,-10.0,"3,29",5394.024902,-10,cam_feednot_available,30.0
96,44.097031,0.090129,0.197214,0.17227,-10.0,"3,29",5394.024902,-10,cam_feednot_available,30.0
97,44.097031,0.112722,0.190523,0.204368,-10.0,"3,29",5394.024902,-10,cam_feednot_available,30.0
98,44.097031,0.112722,0.190523,0.204368,-10.0,"3,29",5394.024902,-10,cam_feednot_available,30.0
99,44.097031,0.137259,0.190523,0.235117,-10.0,"3,29",5394.024902,-10,cam_feednot_available,30.0
100,44.097031,0.137259,0.190523,0.235117,-10.0,"3,29",5394.024902,-10,cam_feednot_available,30.0
101,44.097031,0.132636,0.190523,0.264307,-10.0,"3,29",5394.024902,-10,cam_feednot_available,30.0
102,44.097031,0.132636,0.190523,0.264307,-10.0,"3,29",5394.024902,-10,cam_feednot_available,30.0
103,44.097031,0.08469,0.125908,0.301832,-10.0,"3,29",5394.024902,-10,cam_feednot_available,30.0
104,44.097031,0.08469,0.125908,0.301832,-10.0,"3,29",5394.024902,-10,cam_feednot_available,30.0
105,44.097031,0.044034,1.0,0.33466,-10.0,"3,29",5394.024902,-10,cam_feednot_available,30.0
106,44.097031,0.044034,1.0,0.33466,-10.0,"3,29",5394.024902,-10,cam_feednot_available,30.0
107,44.097031,0.044845,0.950391,0.37373,-10.0,"3,29",5394.024902,-10,cam_feednot_available,30.0
108,44.097031,0.044845,0.950391,0.37373,-10.0,"3,29",5394.024902,-10,cam_feednot_available,30.0
109,44.097031,0.073329,0.120108,0.409944,-10.0,"3,29",5394.024902,-10,cam_feednot_available,30.0
110,44.097031,0.073329,0.120108,0.409944,-10.0,"3,29",5394.024902,-10,cam_feednot_available,30.0
111,44.097031,0.060606,0.120108,0.442269,-10.0,"3,29",5394.024902,-10,cam_feednot_available,30.0
112,44.097031,0.060606,0.120108,0.442269,-10.0,"3,29",5394.024902,-10,cam_feednot_available,30.0
113,44.097031,0.07243,0.206429,0.481217,-10.0,"3,29",5394.024902,-10,cam_feednot_available,30.0
114,44.097031,0.07243,0.206429,0.481217,-10.0,"3,29",5394.024902,-10,cam_feednot_available,30.0
115,44.097031,0.063247,0.206429,0.521778,-10.0,"3,29",5394.024902,-10,cam_feednot_available,30.0
116,44.097031,0.063247,0.206429,0.521778,-10.0,"3,29",5394.024902,-10,cam_feednot_available,30.0
117,44.097031,0.052807,0.206429,0.559464,-10.0,"3,29",5394.024902,-10,cam_feednot_available,30.0
118,44.097031,0.052807,0.206429,0.559464,-10.0,"3,29",5394.024902,-10,cam_feednot_available,30.0
119,44.097031,0.064662,0.206429,0.597398,-10.0,"3,29",5394.024902,-10,cam_feednot_available,30.0
120,44.097031,0.064662,0.206429,0.597398,-10.0,"3,29",5394.024902,-10,cam_feednot_available,30.0
121,44.097031,0.056321,0.142962,0.632827,-10.0,"3,29",5394.024902,-10,cam_feednot_available,30.0
122,44.097031,0.056321,0.142962,0.632827,-10.0,"3,29",5394.024902,-10,cam_feednot_available,30.0
123,44.097031,0.038037,0.131388,0.67047,-10.0,"3,29",5394.024902,-10,cam_feednot_available,30.0
124,44.097031,0.038037,0.131388,0.67047,-10.0,"3,29",5394.024902,-10,cam_feednot_available,30.0
125,44.097031,0.056914,0.280109,0.705125,-10.0,"3,29",5394.024902,-10,cam_feednot_available,30.0
126,44.097031,0.056914,0.280109,0.705125,-10.0,"3,29",5394.024902,-10,cam_feednot_available,30.0
127,44.097031,0.050382,0.280109,0.738131,-10.0,"3,29",5394.024902,-10,cam_feednot_available,30.0
128,44.097031,0.050382,0.280109,0.738131,-10.0,"3,29",5394.024902,-10,cam_feednot_available,30.0
129,102.933182,0.047491,0.280109,0.770423,-10.0,"3,30",5334.75,-10,cam_feednot_available,30.0
130,102.933182,0.047491,0.280109,0.770423,-10.0,"3,31",5275.475098,-10,cam_feednot_available,31.0
131,102.933182,0.050803,0.190637,0.800755,-10.0,"3,32",5216.200195,-10,cam_feednot_available,32.0
132,102.933182,0.050803,0.190637,0.800755,-10.0,"3,33",5156.924805,-10,cam_feednot_available,33.0
133,102.933182,0.065324,0.194451,0.831289,-10.0,"3,34",5097.649902,-10,cam_feednot_available,34.0
134,102.933182,0.065324,0.194451,0.831289,-10.0,"3,34",5097.649902,-10,cam_feednot_available,35.0
135,102.933182,0.060204,0.192782,0.857361,-10.0,"3,34",5097.649902,-10,cam_feednot_available,35.0
136,102.933182,0.060204,0.192782,0.857361,-10.0,"3,34",5097.649902,-10,cam_feednot_available,35.0
137,102.933182,0.054032,0.19358,0.882206,-10.0,"3,34",5097.649902,-10,cam_feednot_available,35.0
138,102.933182,0.054032,0.19358,0.882206,-10.0,"3,34",5097.649902,-10,cam_feednot_available,35.0
139,102.933182,0.043424,0.19358,0.906477,-10.0,"3,34",5097.649902,-10,cam_feednot_available,35.0
140,102.933182,0.043424,0.19358,0.906477,-10.0,"3,34",5097.649902,-10,cam_feednot_available,35.0
141,102.933182,0.058355,0.946015,0.926126,-10.0,"3,34",5097.649902,-10,cam_feednot_available,35.0
142,102.933182,0.058355,0.946015,0.926126,-10.0,"3,34",5097.649902,-10,cam_feednot_available,35.0
143,102.933182,0.069792,0.947285,0.944692,-10.0,"3,34",5097.649902,-10,cam_feednot_available,35.0
144,102.933182,0.069792,0.947285,0.944692,-10.0,"3,34",5097.649902,-10,cam_feednot_available,35.0
145,102.933182,0.177006,0.998588,0.961223,-10.0,"3,34",5097.649902,-10,cam_feednot_available,35.0
146,102.933182,0.177006,0.998588,0.961223,-10.0,"3,34",5097.649902,-10,cam_feednot_available,35.0
147,102.933182,0.218374,1.0,0.974818,-10.0,"3,34",5097.649902,-10,cam_feednot_available,35.0
148,102.933182,0.218374,1.0,0.974818,-10.0,"3,34",5097.649902,-10,cam_feednot_available,35.0
149,102.933182,0.165806,0.999402,0.984477,-10.0,"3,34",5097.649902,-10,cam_feednot_available,35.0
150,102.933182,0.165806,0.999402,0.984477,-10.0,"3,34",5097.649902,-10,cam_feednot_available,35.0
151,102.933182,0.155543,0.947166,0.992622,-10.0,"3,34",5097.649902,-10,cam_feednot_available,35.0
